PU1_peak	Chromosome	Start	End	Type	Alleles	REF_gkmsvm	ALT_gkmsvm	RSID	Pos	beta	p
PU1_30991	chr6	41888743	41888942	SNP	C_G	1.17435	1.61709	rs2274578	41888827	0.700327	2.55E-07
PU1_31371	chr6	53495682	53495881	SNP	T_C	3.76514	-0.12531	rs66468133	53495780	-1.07691	8.32E-11
PU1_34572	chr6	167537691	167537890	indel	G_GGA	3.22035	0.957119	rs10683579	167537753	-1.05264	5.34E-13
PU1_35737	chr7	37456435	37456634	SNP	G_A	2.37047	4.08075	rs10231696	37456550	1.23968	1.13E-13
PU1_36187	chr7	64429711	64429910	SNP	T_C	6.37472	2.53437	rs13238842	64429823	-0.962875	6.48E-11
PU1_36328	chr7	73509232	73509431	SNP	G_C	4.2467	2.46525	rs2237503	73509326	-0.702506	2.97E-10
PU1_37938	chr7	129333805	129334004	SNP	G_A	-0.782896	3.31464	rs9656383	129333905	0.988486	7.98E-11
PU1_38240	chr7	138729955	138730154	SNP	T_C	0.701225	1.23692	rs1044551	138730025	0.844022	1.32E-07
PU1_38773	chr8	6698301	6698500	SNP	T_A	0.597916	3.72229	rs4840639	6698413	1.0597	5.92E-13
PU1_40113	chr8	61471737	61471936	SNP	T_C	0.514235	2.17521	rs2056415	61471839	1.02349	5.51E-10
PU1_40678	chr8	79577620	79577819	SNP	A_C	2.06275	4.90283	rs3808619	79577726	1.06068	1.49E-11
PU1_45890	chr10	5894398	5894597	SNP	A_G	4.62941	1.98372	rs10905307	5894500	-1.0416	1.23E-18
PU1_47892	chr10	81045159	81045358	SNP	T_C	-0.108435	1.96654	rs1250568	81045280	0.68624	5.55E-07
PU1_51842	chr11	85852879	85853078	SNP	G_A	1.559	2.65796	rs10792831	85852979	0.914813	2.80E-11
PU1_53081	chr11	128186785	128186984	SNP	T_G	3.58108	-0.0537266	rs10893845	128186882	-0.964361	5.86E-13
PU1_54305	chr12	28014703	28014902	indel	C_CA	1.51149	2.42568	rs56794031	28014790	1.03363	1.17E-09
PU1_54312	chr12	28264966	28265165	SNP	T_G	2.48578	6.70091	rs59084530	28265050	0.950817	8.77E-14
PU1_54925	chr12	50651411	50651610	SNP	T_A	-0.372216	0.867053	rs11169339	50651456	0.981615	5.52E-09
PU1_56004	chr12	89748460	89748659	indel	AGGG_A	-0.327256	2.58144	rs35928531	89748583	0.802657	4.69E-13
PU1_64115	chr15	75082449	75082648	SNP	C_G	4.08	2.72491	rs3784789	75082552	-0.628743	1.16E-09
PU1_64488	chr15	85904945	85905144	SNP	G_A	2.707	1.53764	rs8040940	85905048	-0.860053	1.95E-08
PU1_65692	chr16	30482440	30482639	SNP	T_G	0.158157	0.594165	rs12598978	30482540	0.782011	1.78E-09
PU1_66245	chr16	68317409	68317608	indel	A_AATGAAAAAGG	0.15704	5.80994	rs56157684	68317494	1.18469	2.52E-14
PU1_66845	chr16	89785733	89785932	SNP	T_C	0.725554	2.08802	rs56112321	89785820	1.14414	7.91E-09
PU1_67420	chr17	19560218	19560417	SNP	G_T	-0.108977	1.2919	rs4646797	19560368	1.24285	5.32E-14
PU1_68631	chr17	59236902	59237101	SNP	A_C	-0.528826	2.65381	rs1476098	59237013	1.03166	1.38E-08
PU1_70655	chr18	52472111	52472310	SNP	G_T	6.52945	2.39035	rs7243172	52472235	-0.930115	7.36E-10
PU1_71414	chr19	3688428	3688627	SNP	C_T	-0.0822162	2.80381	rs75760304	3688524	1.56239	7.21E-12
PU1_71930	chr19	18512750	18512949	indel	TAGAAAAAAA_T	0.27542	-0.497168	rs5827412	18512817	-0.80999	6.91E-11
PU1_72860	chr19	59000199	59000398	SNP	A_G	1.02875	2.79946	rs4801273	59000273	1.03746	2.93E-13
PU1_74804	chr21	19157234	19157433	SNP	C_A	1.6834	-0.248196	rs9974456	19157380	-0.861649	4.64E-08
PU1_76253	chr22	39563821	39564020	indel	G_GA	3.1922	1.02298	rs34101942	39563912	-0.977326	6.52E-12
