rsid	chrom	start	end	peak	variant_type	alleles	ref_gkmsvm	alt_gkmsvm	variant_pos	beta_pu1	se_pu1	p_pu1	beta_as	se_as	p_as
rs3775230	chr4	87972124	87972324	PU1_22046	SNP	G_C	3.45461	1.87548	87972209	-1.17342	0.174683747	1.85E-11	-2.107945351	2.62E-01	8.07E-07
rs3784789	chr15	75082448	75082648	PU1_64115	SNP	C_G	4.08	2.72491	75082552	-0.628743	0.103315208	1.16E-09	-0.713239484	1.37E-01	6.89E-05
rs3808619	chr8	79577619	79577819	PU1_40678	SNP	A_C	2.06275	4.90283	79577726	1.06068	0.157164065	1.49E-11	3.751457822	3.05E-01	1.71E-10
rs4646797	chr17	19560217	19560417	PU1_67420	SNP	G_T	-0.108977	1.2919	19560368	1.24285	0.165188771	5.32E-14	2.716962032	0.282567553	2.83E-07
rs4667114	chr2	182035089	182035289	PU1_12096	SNP	T_A	1.54951	0.158563	182035192	-0.955105	0.170643633	2.18E-08	-1.57632972	0.266565278	3.59E-06
rs4801273	chr19	59000198	59000398	PU1_72860	SNP	A_G	1.02875	2.79946	59000273	1.03746	0.142165031	2.93E-13	2.254621323	1.41E-01	6.53E-16
rs4840639	chr8	6698300	6698500	PU1_38773	SNP	T_A	0.597916	3.72229	6698413	1.0597	0.147133308	5.92E-13	2.985771079	2.33E-01	1.08E-11
rs4894796	chr3	171780653	171780853	PU1_19068	SNP	A_G	3.60584	1.95937	171780763	-0.985887	0.146696668	1.81E-11	-2.009864018	0.25197638	3.33E-08
rs56112321	chr16	89785732	89785932	PU1_66845	SNP	T_C	0.725554	2.08802	89785820	1.14414	0.198278617	7.91E-09	1.259574052	3.74E-01	3.07E-03
rs59084530	chr12	28264965	28265165	PU1_54312	SNP	T_G	2.48578	6.70091	28265050	0.950817	0.127485803	8.77E-14	1.010780532	0.29307838	3.30E-03
rs6443834	chr3	182623920	182624120	PU1_19400	SNP	T_C	1.9563	5.62601	182624011	1.11474	0.151145448	1.64E-13	4.206195005	0.260611728	1.12E-13
rs66468133	chr6	53495681	53495881	PU1_31371	SNP	T_C	3.76514	-0.12531	53495780	-1.07691	0.165813708	8.32E-11	-1.5856364	0.389903202	5.13E-04
rs6886255	chr5	176718264	176718464	PU1_29300	SNP	A_G	0.53887	3.23272	176718361	1.18854	0.179546697	3.60E-11	4.071905216	4.05E-01	8.70E-08
rs7243172	chr18	52472110	52472310	PU1_70655	SNP	G_T	6.52945	2.39035	52472235	-0.930115	0.151038075	7.36E-10	-1.380919603	2.88E-01	8.50E-05
rs736020	chr2	169964226	169964426	PU1_11707	SNP	T_C	-0.54584	2.6092	169964332	0.981004	0.150093177	6.32E-11	2.899516272	2.31E-01	8.70E-12
rs75760304	chr19	3688427	3688627	PU1_71414	SNP	C_T	-0.0822162	2.80381	3688524	1.56239	0.227971983	7.21E-12	3.809918054	3.50E-01	3.12E-07
rs7693834	chr4	57523750	57523950	PU1_21300	SNP	T_C	0.540778	4.09358	57523869	0.913248	0.167909342	5.36E-08	0.608964605	2.46E-01	2.08E-02
rs7713398	chr5	72252384	72252584	PU1_26093	SNP	A_G	2.98542	0.54276	72252475	-0.720211	0.142419848	4.26E-07	-1.376578645	0.195863109	3.67E-07
rs785464	chr1	46522995	46523195	PU1_1495	SNP	T_C	4.95411	2.16905	46523089	-0.968011	0.147402816	5.13E-11	-1.538989579	3.68E-01	5.11E-04
rs8040940	chr15	85904944	85905144	PU1_64488	SNP	G_A	2.707	1.53764	85905048	-0.860053	0.153132989	1.95E-08	-1.028732829	0.235713539	4.22E-04
rs807936	chr3	47322392	47322592	PU1_15596	SNP	C_T	4.21102	0.938607	47322496	-1.22268	0.169889976	6.16E-13	-2.376822532	0.201005387	2.96E-11
rs921893	chr1	26869463	26869663	PU1_740	SNP	G_A	3.5197	2.41975	26869610	-0.550364	0.104971514	1.58E-07	-0.745745257	0.277878637	1.88E-02
rs9656383	chr7	129333804	129334004	PU1_37938	SNP	G_A	-0.782896	3.31464	129333905	0.988486	0.152051913	7.98E-11	1.501753714	0.258043387	8.91E-06
rs9974456	chr21	19157233	19157433	PU1_74804	SNP	C_A	1.6834	-0.248196	19157380	-0.861649	0.157678862	4.64E-08	-1.449718788	0.263509478	2.63E-05
