chrom_histone	start_histone	end_histone	peak_histone	start_pu1	end_pu1	peak_pu1	variant_type	alleles	ref_gkmsvm	alt_gkmsvm	ID	variant_pos	beta_pu1	se_pu1	p_pu1	overlap	beta_histone	se_histone	p_histone	significant
chr15	75065724	75086472	H3K27ac_15_75065724_75086472	75082448	75082648	PU1_64115	SNP	C_G	4.08	2.72491	rs3784789	75082552	-0.628743	0.103315208	1.16E-09	2.00E+02	-0.167112	0.039024203	1.85E-05	O
chr15	85903945	85905504	H3K27ac_15_85903945_85905504	85904944	85905144	PU1_64488	SNP	G_A	2.707	1.53764	rs8040940	85905048	-0.860053	1.53E-01	1.95E-08	2.00E+02	-0.0741721	0.046731108	0.112465	X
chr16	30479756	30486168	H3K27ac_16_30479756_30486168	30482439	30482639	PU1_65692	SNP	T_G	0.158157	0.594165	rs12598978	30482540	0.782011	0.12997324	1.78E-09	2.00E+02	0.109483	0.040022088	0.00622734	X
chr16	68313260	68325102	H3K27ac_16_68313260_68325102	68317408	68317608	PU1_66245	indel	A_AATGAAAAAGG	0.15704	5.80994	rs56157684	68317494	1.18469	1.55E-01	2.52E-14	2.00E+02	0.0267035	0.035344918	0.449942	X
chr17	16170296	16172772	H3K27ac_17_16170296_16172772	16171567	16171767	PU1_67321	indel	CTT_C	5.7792	3.4521	rs74267027	16171687	-0.8381416	1.47E-01	1.20E-08	2.00E+02	-0.7646476	0.053200122	7.64E-47	O
chr17	19559452	19560976	H3K27ac_17_19559452_19560976	19560217	19560417	PU1_67420	SNP	G_T	-0.108977	1.2919	rs4646797	19560368	1.24285	1.65E-01	5.32E-14	2.00E+02	1.11229	0.080752395	3.65E-43	O
chr19	3687505	3690055	H3K27ac_19_3687505_3690055	3688427	3688627	PU1_71414	SNP	C_T	-0.0822162	2.80381	rs75760304	3688524	1.56239	2.28E-01	7.21E-12	2.00E+02	1.48183	0.144778719	1.38E-24	O
chr19	18511593	18514423	H3K27ac_19_18511593_18514423	18512749	18512949	PU1_71930	indel	TAGAAAAAAA_T	0.27542	-0.497168	rs5827412	18512817	-0.80999	1.24E-01	6.91E-11	2.00E+02	-0.576763	0.064148955	2.45E-19	O
chr19	58998644	59002810	H3K27ac_19_58998644_59002810	59000198	59000398	PU1_72860	SNP	A_G	1.02875	2.79946	rs4801273	59000273	1.03746	1.42E-01	2.93E-13	2.00E+02	0.705957	0.057481775	1.14E-34	O
chr21	19151036	19170939	H3K27ac_21_19151036_19170939	19157233	19157433	PU1_74804	SNP	C_A	1.6834	-0.248196	rs9974456	19157380	-0.861649	0.157678862	4.64E-08	200	-0.0087986	0.040895586	0.829652	X
chr22	39377069	39383046	H3K27ac_22_39377069_39383046	39378299	39378499	PU1_76237	SV	Deletion	NA	NA	esv3647746	39357694-39388574	-1.48878	0.237684608	3.76E-10	200	-1.37637	0.115410701	8.68E-33	O
